ALTERDATA,ITEM DO EPI,QTD,NOME SITE
ADMINISTRADOR HOSPITALAR,SEM EPI,0.0,ADMINISTRADOR HOSPITALAR
ADMINISTRATIVO DE AMBULANCIA,SEM EPI,0.0,ADMINISTRATIVO DE AMBULANCIA
ADMINISTRATIVO HCM,SEM EPI,0.0,ADMINISTRATIVO HCM
ADVOGADO,SEM EPI,0.0,ADVOGADO
AGENTE ADMINISTRATIVO,Máscara descartável,1.0,AGENTE ADMINISTRATIVO
AGENTE ADMINISTRATIVO,Máscara N95,1.0,AGENTE ADMINISTRATIVO
AGENTE DE PORTARIA,Máscara descartável,1.0,AGENTE DE PORTARIA
AGENTE DE PORTARIA,Máscara N95,1.0,AGENTE DE PORTARIA
ALMOXARIFE,Máscara descartável,1.0,ALMOXARIFE
ALMOXARIFE,Máscara N95,1.0,ALMOXARIFE
ANALISTA ADMINISTRATIVO,Máscara descartável,1.0,ANALISTA ADMINISTRATIVO
ANALISTA ADMINISTRATIVO,Máscara N95,1.0,ANALISTA ADMINISTRATIVO
ANALISTA AMBIENTAL,SEM EPI,0.0,ANALISTA AMBIENTAL
ANALISTA CSL,SEM EPI,0.0,ANALISTA CSL
ANALISTA DA QUALIDADE,SEM EPI,0.0,ANALISTA DA QUALIDADE
ANALISTA DE ABASTECIMENTO,Máscara descartável,1.0,ANALISTA DE ABASTECIMENTO
ANALISTA DE ABASTECIMENTO,Máscara N95,1.0,ANALISTA DE ABASTECIMENTO
ANALISTA DE ATENDIMENTO,SEM EPI,0.0,ANALISTA DE ATENDIMENTO
ANALISTA DE CAPACITACAO E DESENVOLVIMENTO,SEM EPI,0.0,ANALISTA DE CAPACITACAO E DESENVOLVIMENTO
ANALISTA DE COMPRAS,SEM EPI,0.0,ANALISTA DE COMPRAS
ANALISTA DE COMUNICACAO,SEM EPI,0.0,ANALISTA DE COMUNICAÇÃO
ANALISTA DE CONTABILIDADE,SEM EPI,0.0,ANALISTA DE CONTABILIDADE
ANALISTA DE CONTRATACAO,SEM EPI,0.0,ANALISTA DE CONTRATAÇÃO
ANALISTA DE CONTRATOS DE GESTAO,SEM EPI,0.0,ANALISTA DE CONTRATOS DE GESTÃO
ANALISTA DE DESENV. DE SISTEMAS,SEM EPI,0.0,ANALISTA DE DESENV. DE SISTEMAS
ANALISTA DE DESENVOLVIMENTO,SEM EPI,0.0,ANALISTA DE DESENVOLVIMENTO
ANALISTA DE ENGENHARIA,SEM EPI,0.0,ANALISTA DE ENGENHARIA
ANALISTA DE EXPEDIÇÃO,Máscara N95,1.0,ANALISTA DE EXPEDIÇÃO
ANALISTA DE EXPEDIÇÃO,Máscara descartável,1.0,ANALISTA DE EXPEDIÇÃO
ANALISTA DE GENTE,SEM EPI,0.0,ANALISTA DE GENTE
ANALISTA DE GESTAO DE FOLHA DE PAGAMENTO,SEM EPI,0.0,ANALISTA DE GESTAO DE FOLHA DE PAGAMENTO
ANALISTA DE GESTAO INTEGRADA,SEM EPI,0.0,ANALISTA DE GESTÃO INTEGRADA
ANALISTA DE HOTELARIA,SEM EPI,0.0,ANALISTA DE HOTELARIA
ANALISTA DE MEIO AMBIENTE,SEM EPI,0.0,ANALISTA DE MEIO AMBIENTE
ANALISTA DE MONITORAMENTO E AVALIAÇÃO,SEM EPI,0.0,ANALISTA DE MONITORAMENTO E AVALIAÇÃO
ANALISTA DE OUVIDORIA,SEM EPI,0.0,ANALISTA DE OUVIDORIA
ANALISTA DE PATRIMONIO,SEM EPI,0.0,ANALISTA DE PATRIMONIO
ANALISTA DE PLANEJAMENTO,SEM EPI,0.0,ANALISTA DE PLANEJAMENTO
ANALISTA DE PREVISAO,Máscara descartável,1.0,ANALISTA DE PREVISÃO
ANALISTA DE PREVISAO,Máscara N95,1.0,ANALISTA DE PREVISÃO
ANALISTA DE PROCESSOS,SEM EPI,0.0,ANALISTA DE PROCESSOS
ANALISTA DE PROCESSOS FINANCEIROS,SEM EPI,0.0,ANALISTA DE PROCESSOS FINANCEIROS
ANALISTA DE RECEBIMENTO E EXPEDIÇÃO,Máscara N95,1.0,ANALISTA DE RECEBIMENTO E EXPEDIÇÃO
ANALISTA DE RECEBIMENTO E EXPEDIÇÃO,Máscara descartável,1.0,ANALISTA DE RECEBIMENTO E EXPEDIÇÃO
ANALISTA DE RELACOES TRABALHISTAS,SEM EPI,0.0,ANALISTA DE RELACOES TRABALHISTAS
ANALISTA DE TESTE,SEM EPI,0.0,ANALISTA DE TESTE
ANALISTA DE TI,Máscara descartável,1.0,ANALISTA DE TI
ANALISTA DE TI,Máscara N95,1.0,ANALISTA DE TI
ANALISTA DE TREINAMENTO E DESENVOLVIMENTO,SEM EPI,0.0,ANALISTA DE TREINAMENTO E DESENVOLVIMENTO
ANALISTA DO GABINETE,SEM EPI,0.0,ANALISTA DO GABINETE
ANALISTA FINANCEIRO,SEM EPI,0.0,ANALISTA FINANCEIRO
ANALISTA JURIDICO,SEM EPI,0.0,ANALISTA JURÍDICO
ANALISTA JURIDICO - PGE,SEM EPI,0.0,ANALISTA JURIDICO - PGE
ANALISTA JURIDICO CSL,SEM EPI,0.0,ANALISTA JURIDICO CSL
ANALISTA TÉCNICO  DE RESIDENCIA,SEM EPI,0.0,ANALISTA TÉCNICO DE RESIDÊNCIA
ANALISTA TÉCNICO,Máscara descartável,1.0,ANALISTA TÉCNICO
ANALISTA TÉCNICO,Máscara N95,1.0,ANALISTA TÉCNICO
APRENDIZ  - ASSISTENTE ADMINISTRATIVO,Máscara descartável,1.0,JOVEM APRENDIZ - ASSISTENTE ADMINISTRATIVO
APRENDIZ  - ASSISTENTE ADMINISTRATIVO,Máscara N95,1.0,JOVEM APRENDIZ - ASSISTENTE ADMINISTRATIVO
ARQUITETO URBANISTA,SEM EPI,0.0,ARQUITETO URBANISTA
ARQUITETO DE PLANEJAMENTO,SEM EPI,0.0,ARQUITETO DE PLANEJAMENTO
ARTESÃO,Máscara descartável,1.0,ARTESÃO
ARTESÃO,Máscara N95,1.0,ARTESÃO
ARTESÃO,Luva nitrílica para proteção química e biológica,1.0,ARTESÃO
ASSESSOR  ADMINISTRATIVO,Máscara descartável,1.0,ASSESSOR ADMINISTRATIVO
ASSESSOR  ADMINISTRATIVO,Máscara N95,1.0,ASSESSOR ADMINISTRATIVO
ASSESSOR  ADMINISTRATIVO N1,Máscara descartável,1.0,ASSESSOR ADMINISTRATIVO I
ASSESSOR  ADMINISTRATIVO N1,Máscara N95,1.0,ASSESSOR ADMINISTRATIVO I
ASSESSOR  ADMINISTRATIVO N2,Máscara descartável,1.0,ASSESSOR ADMINISTRATIVO II
ASSESSOR  ADMINISTRATIVO N2,Máscara N95,1.0,ASSESSOR ADMINISTRATIVO II
ASSESSOR  ADMINISTRATIVO N3,Máscara descartável,1.0,ASSESSOR ADMINISTRATIVO III
ASSESSOR  ADMINISTRATIVO N3,Máscara N95,1.0,ASSESSOR ADMINISTRATIVO III
ASSESSOR  CLINICO N1,SEM EPI,0.0,ASSESSOR CLÍNICO I
ASSESSOR  CLINICO N2,SEM EPI,0.0,ASSESSOR CLÍNICO II
ASSESSOR  CLINICO N3,SEM EPI,0.0,ASSESSOR CLÍNICO III
ASSESSOR  DA DIRETORIA ADM N2,SEM EPI,0.0,ASSESSOR DA DIRETORIA ADM II
ASSESSOR  DE COMUNICAÇÃO,SEM EPI,0.0,ASSESSOR DE COMUNICAÇÃO
ASSESSOR  DE COMUNICAÇÃO N1,SEM EPI,0.0,ASSESSOR DE COMUNICAÇÃO I
ASSESSOR  DE COMUNICAÇÃO N2,SEM EPI,0.0,ASSESSOR DE COMUNICAÇÃO II
ASSESSOR  DE CONT INTERNO FIN N1,SEM EPI,0.0,ASSESSOR DE CONT INTERNO FIN I
ASSESSOR  DE CONTAS,SEM EPI,0.0,ASSESSOR DE CONTAS
ASSESSOR  DE CONTRATOS DE GESTÃO,SEM EPI,0.0,ASSESSOR DE CONTRATOS DE GESTÃO
ASSESSOR  DE CONTROLE HOSPITALAR,SEM EPI,0.0,ASSESSOR DE CONTROLE HOSPITALAR
ASSESSOR  DE CONTROLE INTERNO,SEM EPI,0.0,ASSESSOR DE CONTROLE INTERNO
ASSESSOR  DE DESENVOLVIMENTO N1,SEM EPI,0.0,ASSESSOR DE DESENVOLVIMENTO I
ASSESSOR  DE GOVERNANÇA N1,SEM EPI,0.0,ASSESSOR DE GOVERNANÇA I
ASSESSOR  DE PLANEJAMENTO N1,SEM EPI,0.0,ASSESSOR DE PLANEJAMENTO I
ASSESSOR  DE PLANEJAMENTO N2,SEM EPI,0.0,ASSESSOR DE PLANEJAMENTO II
ASSESSOR  DE PROJETOS,SEM EPI,0.0,ASSESSOR DE PROJETOS
ASSESSOR  DO GABINETE N1,SEM EPI,0.0,ASSESSOR DO GABINETE I
ASSESSOR  DO GABINETE N2,SEM EPI,0.0,ASSESSOR DO GABINETE II
ASSESSOR  DO GABINETE N3,SEM EPI,0.0,ASSESSOR DO GABINETE III
ASSESSOR  FINANCEIRO N1,SEM EPI,0.0,ASSESSOR FINANCEIRO I
ASSESSOR  FINANCEIRO N2,SEM EPI,0.0,ASSESSOR FINANCEIRO II
ASSESSOR  JURIDICO N1,SEM EPI,0.0,ASSESSOR JURIDICO I
ASSESSOR  JURIDICO N2,SEM EPI,0.0,ASSESSOR JURIDICO II
ASSESSOR  TÉCNICO DA COORDENAÇÃO,SEM EPI,0.0,ASSESSOR TÉCNICO DA COORDENAÇÃO
ASSESSOR JURIDICO E INSTITUCIONAL,SEM EPI,0.0,ASSESSOR JURIDICO E INSTITUCIONAL
ASSESSOR TÉCNICO,Máscara N95,1.0,ASSESSOR TÉCNICO
ASSESSOR TÉCNICO,Máscara descartável,1.0,ASSESSOR TÉCNICO
ASSESSOR ASSISTENCIAL,SEM EPI,0.0,ASSESSOR ASSISTENCIAL
ASSESSOR CONTABIL,SEM EPI,0.0,ASSESSOR CONTABIL
ASSESSOR DE AUDITORIA INTER N2,SEM EPI,0.0,ASSESSOR DE AUDITORIA INTER II
ASSESSOR DE AUDITORIA INTERNA,SEM EPI,0.0,ASSESSOR DE AUDITORIA INTERNA
ASSESSOR DE COMPRAS,SEM EPI,0.0,ASSESSOR DE COMPRAS
ASSESSOR DE CONTROLE INTER N1,SEM EPI,0.0,ASSESSOR DE CONTROLE INTER I
ASSESSOR DE CONTROLE INTER N2,SEM EPI,0.0,ASSESSOR DE CONTROLE INTER II
ASSESSOR DE CONTROLE INTERNO,SEM EPI,0.0,ASSESSOR DE CONTROLE INTERNO
ASSESSOR DE DIREÇÃO N1,SEM EPI,0.0,ASSESSOR DE DIREÇÃO I
ASSESSOR DE ENFERMAGEM N1,SEM EPI,0.0,ASSESSOR DE ENFERMAGEM I
ASSESSOR DE ENG AMBIENTAL N2,SEM EPI,0.0,ASSESSOR DE ENG AMBIENTAL II
ASSESSOR DE ENGENHARIA,Máscara descartável,1.0,ASSESSOR DE ENGENHARIA
ASSESSOR DE ENGENHARIA,Máscara N95,1.0,ASSESSOR DE ENGENHARIA
"ASSESSOR DE PLANEJ, GOVER E INOV N1",SEM EPI,0.0,"ASSESSOR DE PLANEJ, GOVER E INOV I"
"ASSESSOR DE PLANEJ, GOVER E INOV N2",SEM EPI,0.0,"ASSESSOR DE PLANEJ, GOVER E INOV II"
"ASSESSOR DE PLANEJAMENTO, GOVERNANÇA E INOVAÇÃO",SEM EPI,0.0,"ASSESSOR DE PLANEJAMENTO, GOVERNANÇA E INOVAÇÃO"
"ASSESSOR DE RELA INSTIT,PARC E INOV N2",SEM EPI,0.0,"ASSESSOR DE RELA INSTIT,PARC E INOV II"
ASSESSOR DE RH N1,SEM EPI,0.0,ASSESSOR DE RH I
ASSESSOR DO GABINETE,SEM EPI,0.0,ASSESSOR DO GABINETE
ASSESSOR ESPECIAL N1,SEM EPI,0.0,ASSESSOR ESPECIAL I
ASSESSOR FINANCEIRO,SEM EPI,0.0,ASSESSOR FINANCEIRO
ASSESSOR INSTITUCIONAL N1,SEM EPI,0.0,ASSESSOR INSTITUCIONAL I
ASSESSOR JURIDICO,SEM EPI,0.0,ASSESSOR JURÍDICO
ASSESSOR MÉDICO,SEM EPI,0.0,ASSESSOR MÉDICO
ASSESSOR N1,Máscara descartável,1.0,ASSESSOR I
ASSESSOR N1,Máscara N95,1.0,ASSESSOR I
ASSESSOR N2,Máscara descartável,1.0,ASSESSOR II
